 rilevazionedati
 
id,data,stazione,temperatura,umidita,pressione,co2

1,01-01-2025,Stazione_A,17.2,68,1012.3,415
2,02-01-2025,Stazione_B,18.1,65,1013.1,420
3,03-01-2025,Stazione_C,16.8,70,1011.8,430
4,04-01-2025,Stazione_D,19.0,60,1014.0,410
5,05-01-2025,Stazione_E,20.2,55,1015.2,405
6,06-01-2025,Stazione_A,15.9,72,1010.5,440
7,07-01-2025,Stazione_B,21.3,50,1016.3,395
8,08-01-2025,Stazione_C,22.1,48,1017.0,390
9,09-01-2025,Stazione_D,14.7,75,1009.8,450
10,10-01-2025,Stazione_E,13.9,80,1008.9,460
11,11-01-2025,Stazione_A,18.4,66,1012.7,418
12,12-01-2025,Stazione_B,19.5,63,1013.8,412
13,13-01-2025,Stazione_C,17.0,69,1011.4,425
14,14-01-2025,Stazione_D,16.3,71,1010.9,438
15,15-01-2025,Stazione_E,23.0,45,1018.1,380
16,16-01-2025,Stazione_A,24.2,40,1019.0,370
17,17-01-2025,Stazione_B,12.8,82,1007.5,470
18,18-01-2025,Stazione_C,11.9,85,1006.8,480
19,19-01-2025,Stazione_D,20.5,58,1014.6,400
20,20-01-2025,Stazione_E,21.8,52,1016.9,392
21,21-01-2025,Stazione_A,18.9,64,1013.4,410
22,22-01-2025,Stazione_B,19.7,61,1014.2,405
23,23-01-2025,Stazione_C,15.4,73,1010.2,445
24,24-01-2025,Stazione_D,14.1,78,1009.1,455
25,25-01-2025,Stazione_E,22.6,47,1017.6,385
26,26-01-2025,Stazione_A,23.8,42,1018.4,375
27,27-01-2025,Stazione_B,13.5,79,1008.3,462
28,28-01-2025,Stazione_C,16.9,67,1012.0,422
29,29-01-2025,Stazione_D,17.6,65,1012.5,417
30,30-01-2025,Stazione_E,20.9,54,1015.8,398
31,31-01-2025,Stazione_A,19.1,62,1013.6,408
32,01-02-2025,Stazione_B,18.7,64,1012.9,415
33,02-02-2025,Stazione_C,17.3,68,1011.7,428
34,03-02-2025,Stazione_D,16.5,70,1010.8,435
35,04-02-2025,Stazione_E,21.4,53,1016.5,390
36,05-02-2025,Stazione_A,22.9,46,1017.9,382
37,06-02-2025,Stazione_B,15.8,72,1010.4,442
38,07-02-2025,Stazione_C,14.6,76,1009.3,452
39,08-02-2025,Stazione_D,13.2,81,1008.0,468
40,09-02-2025,Stazione_E,24.5,38,1019.5,365
41,10-02-2025,Stazione_A,18.0,66,1012.1,419
42,11-02-2025,Stazione_B,19.9,60,1014.5,402
43,12-02-2025,Stazione_C,20.7,57,1015.1,398
44,13-02-2025,Stazione_D,17.8,69,1011.9,426
45,14-02-2025,Stazione_E,16.1,71,1010.6,437
46,15-02-2025,Stazione_A,23.3,44,1018.7,378
47,16-02-2025,Stazione_B,22.4,49,1017.2,388
48,17-02-2025,Stazione_C,12.5,83,1007.2,472
49,18-02-2025,Stazione_D,11.3,87,1006.5,485
50,19-02-2025,Stazione_E,21.1,52,1016.0,395
51,20-02-2025,Stazione_A,19.3,63,1013.7,407
52,21-02-2025,Stazione_B,18.6,65,1012.8,416
53,22-02-2025,Stazione_C,17.1,69,1011.5,429
54,23-02-2025,Stazione_D,16.4,72,1010.7,441
55,24-02-2025,Stazione_E,22.2,48,1017.3,387
56,25-02-2025,Stazione_A,24.0,39,1019.2,372
57,26-02-2025,Stazione_B,13.8,80,1008.6,463
58,27-02-2025,Stazione_C,14.9,74,1009.6,448
59,28-02-2025,Stazione_D,20.3,56,1015.0,399
60,01-03-2025,Stazione_E,21.6,51,1016.7,393
61,02-03-2025,Stazione_A,18.2,67,1012.4,414
62,03-03-2025,Stazione_B,19.6,62,1014.1,404
63,04-03-2025,Stazione_C,15.2,73,1010.1,446
64,05-03-2025,Stazione_D,14.3,77,1009.0,453
65,06-03-2025,Stazione_E,22.8,46,1017.8,384
66,07-03-2025,Stazione_A,23.6,43,1018.3,376
67,08-03-2025,Stazione_B,12.9,82,1007.7,469
68,09-03-2025,Stazione_C,16.7,68,1011.6,424
69,10-03-2025,Stazione_D,17.4,66,1012.2,418
70,11-03-2025,Stazione_E,20.8,55,1015.6,397
71,12-03-2025,Stazione_A,19.4,63,1013.9,406
72,13-03-2025,Stazione_B,18.8,64,1013.0,413
73,14-03-2025,Stazione_C,17.2,70,1011.3,431
74,15-03-2025,Stazione_D,16.6,71,1010.9,439
75,16-03-2025,Stazione_E,21.9,50,1016.8,392
76,17-03-2025,Stazione_A,24.3,37,1019.6,368
77,18-03-2025,Stazione_B,15.6,73,1010.3,444
78,19-03-2025,Stazione_C,14.4,76,1009.2,451
79,20-03-2025,Stazione_D,13.1,84,1007.9,471
80,21-03-2025,Stazione_E,23.1,45,1018.6,379
81,22-03-2025,Stazione_A,18.3,67,1012.6,416
